threshold,acc,balanced_acc,f1,precision,recall,specificity,youden_j,tp,tn,fp,fn
0.8,0.8682170542635659,0.8818877551020408,0.8440366972477065,0.7666666666666667,0.9387755102040817,0.825,0.7637755102040815,46.0,66.0,14.0,3.0
0.81,0.8682170542635659,0.8818877551020408,0.8440366972477065,0.7666666666666667,0.9387755102040817,0.825,0.7637755102040815,46.0,66.0,14.0,3.0
0.82,0.8682170542635659,0.8818877551020408,0.8440366972477065,0.7666666666666667,0.9387755102040817,0.825,0.7637755102040815,46.0,66.0,14.0,3.0
0.83,0.8914728682170543,0.9006377551020408,0.8679245283018868,0.8070175438596491,0.9387755102040817,0.8625,0.8012755102040816,46.0,69.0,11.0,3.0
0.84,0.8914728682170543,0.9006377551020408,0.8679245283018868,0.8070175438596491,0.9387755102040817,0.8625,0.8012755102040816,46.0,69.0,11.0,3.0
0.85,0.8992248062015504,0.9068877551020409,0.8761904761904763,0.8214285714285714,0.9387755102040817,0.875,0.8137755102040818,46.0,70.0,10.0,3.0
0.86,0.9147286821705426,0.9193877551020408,0.8932038834951458,0.8518518518518519,0.9387755102040817,0.9,0.8387755102040817,46.0,72.0,8.0,3.0
0.87,0.9069767441860465,0.9091836734693878,0.8823529411764707,0.8490566037735849,0.9183673469387755,0.9,0.8183673469387756,45.0,72.0,8.0,4.0
0.88,0.9069767441860465,0.9052295918367347,0.8799999999999999,0.8627450980392157,0.8979591836734694,0.9125,0.8104591836734694,44.0,73.0,7.0,5.0
0.89,0.9147286821705426,0.9114795918367347,0.888888888888889,0.88,0.8979591836734694,0.925,0.8229591836734693,44.0,74.0,6.0,5.0
0.9,0.9147286821705426,0.9075255102040816,0.8865979381443299,0.8958333333333334,0.8775510204081632,0.9375,0.8150510204081631,43.0,75.0,5.0,6.0
0.91,0.9147286821705426,0.9035714285714285,0.8842105263157894,0.9130434782608695,0.8571428571428571,0.95,0.8071428571428569,42.0,76.0,4.0,7.0
0.92,0.9302325581395349,0.9121173469387756,0.9010989010989012,0.9761904761904762,0.8367346938775511,0.9875,0.8242346938775511,41.0,79.0,1.0,8.0
0.93,0.9302325581395349,0.9081632653061225,0.898876404494382,1.0,0.8163265306122449,1.0,0.8163265306122449,40.0,80.0,0.0,9.0
0.94,0.9302325581395349,0.9081632653061225,0.898876404494382,1.0,0.8163265306122449,1.0,0.8163265306122449,40.0,80.0,0.0,9.0
0.95,0.9224806201550387,0.8979591836734694,0.8863636363636364,1.0,0.7959183673469388,1.0,0.7959183673469388,39.0,80.0,0.0,10.0
0.96,0.9147286821705426,0.8877551020408163,0.8735632183908045,1.0,0.7755102040816326,1.0,0.7755102040816326,38.0,80.0,0.0,11.0
0.97,0.9147286821705426,0.8877551020408163,0.8735632183908045,1.0,0.7755102040816326,1.0,0.7755102040816326,38.0,80.0,0.0,11.0
0.98,0.9069767441860465,0.8775510204081632,0.8604651162790697,1.0,0.7551020408163265,1.0,0.7551020408163265,37.0,80.0,0.0,12.0
0.99,0.875968992248062,0.8367346938775511,0.8048780487804877,1.0,0.673469387755102,1.0,0.6734693877551021,33.0,80.0,0.0,16.0
